sin,cos,sin2x,cos2x,3sinx,3cosx,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
0,1,0,0,0,0,0.909968435,1.198371501,0.947441716,0.8136166,0.864739787,0.864013474,0.687967598,0.677519652,0.693163962,0.425737104,0.615077598,0.397509693,0.353841273,0.00680434074,0.103438784,-0.00225301707,-0.0180332138,-0.179520518,-0.204584227,-0.530626008,-0.381037359,-0.484267259,-0.502655455,-0.701659447,-0.730371978,-0.802046071,-0.873875292,-0.9866809,-0.970248483,-0.902258909,-0.98551509,-1.023848278,-1.019161915,-1.032214186,-0.899617454,-0.892174668,-0.919093217,-0.732444501,-0.706017958,-0.693245003,-0.563055409,-0.522936654,-0.580410522,-0.188317534,-0.360992535,-0.338128772,-0.11869021,-0.0157514326,0.110948554,0.145476833,0.229083737,0.366638555,0.535138399,0.527592563,0.653398148,0.807201531,0.695896616,0.868124671,0.968476495,0.793447563,1.037850067,0.849995832,0.961065648
0,1,0,0,0,0,1.075573783,0.85275225,0.799705257,1.052261178,0.811033894,1.086049856,0.796627665,0.767133785,0.595217713,0.524963326,0.38424173,0.569499096,0.212192498,0.246680111,0.223574122,0.145269407,0.0313770203,-0.125595402,-0.140100474,-0.435664013,-0.479049145,-0.729610628,-0.556152874,-0.545401992,-0.698808861,-0.758903362,-0.874107318,-1.079660624,-1.128347881,-0.943319083,-1.194416997,-0.980545648,-0.924646769,-1.018873209,-0.941255879,-1.061800363,-0.901482944,-0.806512216,-0.797378635,-0.741330138,-0.591781762,-0.672033431,-0.363707402,-0.313780461,-0.367987807,-0.141740188,-0.176355452,0.177795856,0.0322933238,0.38635502,0.209245728,0.392598716,0.318337542,0.529617607,0.517838666,0.629793482,0.893789094,0.692227932,0.860445003,0.990169052,0.863322387,0.997976221,1.058376704
0,1,0,0,0,0,0.89010427,0.848758673,1.032665746,0.891993113,0.889426338,0.784254905,0.702936699,0.89123571,0.581859661,0.619192366,0.507437821,0.463439091,0.196011643,0.26638852,0.381360923,-0.00174064484,-0.0745997743,-0.194618309,-0.238017737,-0.471778226,-0.433723983,-0.511879853,-0.594498042,-0.496460574,-0.713137222,-0.85887031,-0.791771509,-0.988852672,-0.951984968,-1.22615009,-0.991026433,-0.887679767,-1.055522526,-1.019707276,-0.873219406,-0.831014958,-0.737077809,-0.90248276,-0.809979687,-0.796408128,-0.580330123,-0.76150167,-0.529926438,-0.304545401,-0.387313448,0.105027254,0.00713675875,0.0572576679,0.246350832,0.141667264,0.271271704,0.413245883,0.650240765,0.452251946,0.657567348,0.769498473,0.899265917,0.783477899,0.905319859,1.028263408,1.002892146,0.86971565,1.04222928
0,1,0,0,0,0,1.055006561,1.061269909,0.879301822,0.882449114,0.710115943,0.757859868,0.733738384,0.817942526,0.533770502,0.506624724,0.60095663,0.473261002,0.485904448,0.272719541,0.245405847,-0.00537939264,0.0215542025,-0.0478060965,-0.334641931,-0.302004935,-0.470139031,-0.491135022,-0.53963228,-0.80308987,-0.679728363,-0.910847186,-0.766263334,-0.743578537,-0.995201665,-1.046067883,-1.031628776,-1.035375692,-0.938254889,-0.991569082,-1.022904862,-1.202469867,-0.861809201,-0.744066337,-0.781003091,-0.743734992,-0.573186996,-0.516686283,-0.450481965,-0.282138886,-0.467097959,-0.106975244,-0.0656656536,-0.0868610371,0.135314274,0.176565859,0.339236087,0.288042018,0.321277609,0.622226283,0.684719327,0.746984017,0.739994855,0.797617047,0.907134071,0.896675224,0.822200103,1.085481148,1.168614097
0,1,0,0,0,0,0.873491628,1.062438337,0.902567298,0.994710273,0.96499702,1.008359112,0.861052458,0.908720135,0.718447764,0.730690466,0.405767091,0.350282107,0.490497093,0.307490047,0.276798052,0.00489644353,-0.113547632,0.0137054803,-0.204612489,-0.335328694,-0.454740852,-0.546030996,-0.530534491,-0.688534276,-0.6371286,-0.853382909,-0.685382247,-0.921278057,-0.874673648,-0.965082838,-1.066881842,-1.271727876,-0.939346522,-0.950570734,-1.071222499,-1.061623848,-0.841173913,-0.750897348,-0.777878819,-0.673962107,-0.766752542,-0.514083274,-0.410106936,-0.390387186,-0.112401799,-0.25658341,-0.0209794419,0.0297513775,0.0163320933,0.0264586683,0.371631542,0.407669099,0.267451662,0.610735648,0.70770297,0.702074516,0.646355283,0.844100028,0.982282402,1.058759619,1.130195779,0.895992931,1.23226157
0,1,0,0,0,0,0.875620634,0.916404231,0.845778469,0.881353575,0.969541908,0.87377419,0.650854571,0.978607673,0.77822267,0.657358084,0.437891064,0.312966022,0.346269328,0.305862812,0.246046246,0.0247081822,-0.00942884698,-0.0242171171,-0.155960965,-0.289488067,-0.361166561,-0.551965325,-0.534488241,-0.560096507,-0.765895883,-0.910353557,-0.674155366,-0.895680665,-0.966406714,-1.072232338,-1.102589139,-1.033006188,-1.033768489,-0.796773707,-1.02090229,-0.927145958,-0.97715679,-0.98552754,-0.760251792,-0.816985261,-0.619106749,-0.697452512,-0.528884049,-0.471385642,-0.531327097,-0.189981658,-0.0578337249,-0.0525525843,0.0601474113,0.173086662,0.366116426,0.146741571,0.59555913,0.475255722,0.684857441,0.746898642,0.781411774,0.959079129,0.840897495,1.021140487,1.047080687,0.938491783,0.876946564
0,1,0,0,0,0,0.888510492,0.923869492,1.025636971,0.798959747,0.767911769,0.788521782,0.815084453,0.660779902,0.709629404,0.614619543,0.429645419,0.402534924,0.357680505,0.399535444,0.0737086517,-0.0703388371,-0.054647515,-0.0495825974,-0.133885591,-0.540875967,-0.454251505,-0.601710383,-0.611345176,-0.458639881,-0.946329467,-0.887536606,-1.013062244,-0.990743279,-0.983498952,-1.157526329,-0.911254958,-1.170629288,-1.038096897,-0.794001695,-0.994520452,-0.966352849,-0.99647436,-0.968052609,-0.598539189,-0.765141026,-0.629561588,-0.481508803,-0.449048843,-0.26005686,-0.197685517,-0.158203396,-0.0526232954,0.0729903471,0.262244597,0.349476122,0.186004987,0.301780392,0.490044108,0.679995112,0.699295811,0.730824253,0.6471145,0.839659709,0.894670196,0.862170861,0.982782686,1.113401018,1.057874952
0,1,0,0,0,0,1.028266551,1.085539711,1.035661706,1.086840809,0.841443889,0.940925641,0.964278672,0.804112666,0.645828104,0.600817955,0.703073826,0.645107502,0.221915739,0.353090413,0.0130614167,0.0468943246,-0.30703194,-0.179683846,-0.241453583,-0.268902873,-0.396645345,-0.526611344,-0.482216373,-0.613889668,-0.697247839,-0.89648468,-0.843063137,-0.94155934,-0.860377595,-1.140873668,-1.220421808,-0.980685963,-1.190505686,-0.835642188,-0.865802236,-0.909443484,-0.814424891,-0.60894364,-0.604022335,-0.761907329,-0.727812805,-0.532945632,-0.166583398,-0.357497228,-0.369202074,-0.241162731,-0.049024154,-0.0270048278,-0.00499730106,0.302490502,0.364175558,0.401745754,0.525304725,0.456313434,0.65384053,0.738290585,0.860646867,0.840886069,0.936329292,0.813131641,1.006512259,1.046538374,0.931738048
0,1,0,0,0,0,1.115207628,1.088140392,1.011933216,0.964368491,0.84686422,0.776830027,0.850824562,1.033463282,0.807214678,0.665228991,0.342098495,0.409892898,0.294456374,0.359015736,0.18847416,-0.0704329283,0.164951437,-0.0909939668,-0.115233245,-0.306783148,-0.249249627,-0.496198739,-0.569005197,-0.626183984,-0.750624884,-0.650420691,-0.773520225,-0.966262352,-0.938570382,-0.938651271,-0.907765222,-0.870543133,-1.00943669,-1.024189516,-0.854861742,-0.872865064,-1.05626905,-0.816784007,-0.738479523,-0.753890572,-0.73142375,-0.569007502,-0.587867112,-0.297140081,-0.470727221,-0.355735975,-0.201004445,0.0925936812,-0.0504219815,0.131509292,0.251635886,0.217272643,0.614732876,0.623024508,0.546805013,0.605195695,0.752699826,0.68825975,0.829728784,0.771946918,0.901852555,1.037099663,0.973172327
0,1,0,0,0,0,1.057614416,1.018363417,1.041384918,0.999533876,0.994728953,1.023484275,0.812912371,0.697234066,0.62931474,0.644428808,0.587218328,0.402155687,0.338548179,0.290910317,0.0936909022,0.117617772,0.0418003211,-0.0530532781,-0.28864788,-0.38349778,-0.651158342,-0.571276403,-0.548185801,-0.84056056,-0.793177771,-0.840339529,-0.926922168,-0.955873956,-0.71471079,-0.994219978,-0.93397623,-0.990095447,-1.003947555,-0.837394017,-0.75702578,-0.848716708,-0.80059309,-0.880839282,-0.752253163,-0.661777653,-0.688493927,-0.571036696,-0.625256094,-0.405444558,-0.434123079,-0.269272718,-0.037382417,-0.0724420065,0.0483864829,0.169856105,0.214125543,0.396753734,0.462564037,0.516619041,0.641367305,0.731543707,0.850757502,0.874079853,0.878213665,1.03275504,0.984026523,1.065367236,1.022165065
