sin,cos,sin2x,cos2x,3sinx,3cosx,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
1,0,0,0,0,0,-3.315491968,-4.116657537,1.140835878,4.43549486,-1.96403272,-2.22569361,0.289578263,-0.988858852,3.718695624,-3.975346275,-0.824910937,1.191578928,2.612738653,-1.950623212,-0.339512648,9.249727876,-6.830521986,6.210457854,3.757274966,3.702188756,2.140681942,-2.880984479,-0.451556103,-3.57223278,-2.895777919,0.963238931,0.8072222,2.764598695,-4.060456523,0.897395218,-1.937784279,5.217336461,-2.198752292,-3.256486464,3.039967333,4.300824881,-0.717747324,-1.677544492,-0.479077404,0.0565533274,2.372024428,-1.648654795,-2.378394538,-3.742479153,-3.474033303,-2.866173185,-0.829646138,-2.048507152,-5.355872073,-1.806559114,0.0336664309,-5.983039566,-1.222419592,4.980702651,2.585395496,-4.336730747,-1.894047331,0.284786924,-0.623392876,-0.435655667,-3.047836721,2.585913245,2.970104131
0,0,1,0,0,0,3.042236168,0.447686554,8.80124561,-0.656395202,-0.742113241,1.798674275,1.325635983,-0.778509951,0.258424551,5.007102527,4.133907022,-4.289113396,-0.767449619,-1.641727195,0.184156807,0.679889893,-0.179972657,-4.928691993,-2.306093257,-4.136547616,-4.170014111,-2.868155563,0.354824972,-2.578546639,-6.507639354,-1.644903208,-1.349639919,4.230101985,-5.214801814,-2.929728985,-6.27987838,-1.416854546,2.068001,1.855221643,-3.885331114,-4.242209354,0.376035728,0.842860557,1.668108317,-1.102169827,6.682866352,-0.0140516455,-3.078351073,1.855391229,1.611164819,-2.794506464,-3.271471154,-0.769450036,6.797130004,-4.194367271,-3.509957505,-6.099660208,-0.674782794,-2.889874548,-0.114936098,-1.24802504,-1.876675771,-4.310491682,0.367204227,0.758161837,-1.061883047,-5.508055566,-1.929002259
1,0,0,0,0,0,-1.708289559,5.372476382,-0.715616474,-3.193065843,-0.0176748104,0.344150792,-0.708556288,0.255694658,-6.123342608,-1.121688963,1.193733309,1.384344761,-2.795323617,5.661855258,-4.426876871,-3.917017766,2.334834861,1.28125372,-1.575824139,0.999389415,0.778313763,2.643445731,2.000815358,-2.935043197,3.748182212,1.28543688,1.174491199,-5.222809285,3.73349212,1.36510708,-6.349969694,5.321326124,2.607515314,1.053156504,0.771784841,0.00292927865,-4.964067609,-1.568516422,-1.781857402,4.746472585,0.64858521,0.908088333,-2.555330144,-1.907981557,2.145870239,0.887962192,-3.391218594,-4.094490007,-0.218065773,-1.534871818,-2.967840331,-1.793279161,-1.940830843,-5.547651373,3.609915919,3.391603386,-5.801403638,2.093138023,0.421951837,-3.440673153,-3.80467211,-1.289396093,3.617263504
0,1,0,0,0,0,3.755241629,-3.509332358,5.443978531,0.0276899617,-1.170010137,5.926984533,3.689373632,2.426181192,-2.541967461,1.110763459,-3.933721838,-5.369866933,1.896094581,-3.989914362,0.961769826,1.31808543,-4.191018051,5.80793262,-0.611627175,-2.89945731,-3.357441179,1.435149681,3.784295705,-0.933675039,5.066882043,-1.294865553,0.60219374,6.296126599,-3.804680145,-3.180603864,-6.335698458,-1.492231293,-3.979894236,-2.00484021,-2.237943259,6.740781503,4.30905279,3.230542968,0.351648735,-0.702551204,-3.943607025,-1.501792786,1.444117651,-2.531885105,1.585525714,-4.217273564,1.598776874,-4.884009662,0.286332351,2.284370382,-3.828629443,-1.501513428,4.748406481,0.636646056,0.858116576,-2.385156762,2.358515925,0.567725663,4.255455169,-0.618939439,5.016798937,1.706914808,2.815150536
0,0,0,0,0,1,6.86480147,1.41952139,4.118527798,6.332386014,4.731377163,-0.0149503685,-1.655461071,-3.813979245,2.421685839,3.970138833,1.433606789,-2.855905337,4.094077663,2.299805031,6.200898787,2.947543416,5.45614257,3.861552369,3.406283592,-12.36756764,-4.123468799,-7.192359427,3.810745839,-1.610503898,3.165907526,-6.176683692,-3.598186672,0.0991462125,-2.998666299,-6.119855429,-5.569022627,4.715542825,-5.126572153,-2.685859964,-6.624476038,-4.1396415,-0.30792953,-4.391043145,-8.783051896,4.129630221,2.876465347,-1.860573703,-4.149372488,-5.708114119,-3.917913483,-6.826008874,0.133664769,4.819604437,-1.307888643,2.025700021,-0.584460088,8.923759758,8.266413522,-0.970587413,2.164256513,3.938637225,2.285452208,1.367636679,-0.666550107,0.820173605,0.85919116,3.470606914,2.493910369
0,0,0,0,0,1,1.229405738,9.966526001,-1.296276918,2.66674922,1.91284068,-0.351691977,-1.537295476,2.684737367,7.232376918,5.786890416,-0.152491909,-3.29333154,-1.612457568,1.776480058,0.955943121,3.482299973,0.0507959558,-0.911744933,-0.777259436,-4.020384497,-3.809879373,-7.709578193,-2.054521458,-3.85871227,-1.323082736,-8.166313163,-2.346060768,-3.639104926,-7.750750568,-8.695358513,-6.722448415,-1.678551469,-6.239791024,-9.483499108,-1.213170183,-2.945843042,-3.332955441,-1.659878063,-6.194692327,-4.654279264,-3.690163418,-0.525204844,-3.208857144,-2.66115705,-3.28479496,-4.555646036,-1.829589686,2.965252373,4.38520954,3.247234957,2.298785947,3.477133098,0.854226147,-1.161163845,3.23720268,4.639547271,-0.556170377,3.979471576,-1.139886087,0.138027113,5.109712177,1.202599441,9.596976912
0,0,0,0,1,0,0.116488878,1.192888847,0.99472346,2.23332236,3.73559901,7.884580012,-1.63046892,3.476155713,4.6673821,0.200615094,2.568219747,6.46561637,2.885822462,2.213163427,1.715864386,11.16409286,-0.89913212,4.808849167,1.045634128,1.684864663,1.674621049,3.180507957,3.149841948,6.525130676,-5.398107187,-2.350281222,1.085204729,0.407349972,-1.955854812,2.842720287,5.119628774,4.061534816,-0.765259708,1.10321696,-1.238238791,-0.774524652,3.199927261,0.716422474,-2.719365502,-2.211775416,1.556664439,-7.028847454,-0.799327434,-1.256235523,-5.529935034,-6.541107622,-2.281727944,-5.327845954,-0.105591227,-4.188310574,-2.119470356,-1.950968918,-5.906165683,-0.976210298,1.275004975,-4.323771459,-3.400562613,-3.109613049,1.797464001,1.50039648,8.741491078,2.897948637,2.102658769
0,0,0,1,0,0,-0.165249352,1.12780206,3.210722332,0.685739651,-1.399871234,-4.146266822,0.934759409,4.994859965,-2.864948342,1.498594707,-1.381321907,-4.004774947,3.132229834,-3.149932335,-2.66315186,-4.338737448,-0.43901857,-3.75578102,0.0286523661,-1.634282849,-6.169220087,1.265677513,0.0666852223,-5.25785431,-5.628602279,3.714520794,1.248360476,3.084872326,-3.327911573,0.0955018307,-0.812751768,0.75380783,1.459188737,-0.117269607,-0.0506786566,-5.324507859,5.803221809,6.50258689,-0.336542956,3.826792168,3.503584428,1.325191412,3.983181692,-1.862466075,-1.680675637,-4.488855477,2.51308206,-2.684780921,0.739404668,-3.456997655,5.055599077,0.781653177,-0.365717557,-1.13845669,2.624049601,3.160804019,-1.068611637,-0.093769869,-0.305418778,1.821264856,2.925737412,1.070683814,0.867126185
0,0,0,1,0,0,0.836543352,1.947894804,1.273704845,3.171934396,-6.167521592,-2.830061981,-1.023313348,3.071008119,3.295621749,-5.78114958,-1.653383721,0.798332253,-0.0599401279,0.472542974,0.962110767,-2.194029462,-1.434021908,3.022157373,-8.53011856,2.552248726,1.529153612,1.713479928,1.181367503,-4.936568306,-4.675830939,-0.655296818,-8.020190763,3.531859024,-5.273591346,8.729256673,2.143076061,12.56932501,8.059796298,0.502798012,0.642570416,0.920982987,1.03420687,-3.1898546,3.307349267,-0.188193688,3.165854576,1.139611981,-3.98544013,0.378632503,1.183995613,-3.383520517,-0.284148645,0.0935885493,-0.38949325,-4.644596856,-2.50120099,0.740117299,0.917397611,4.639919404,2.277357126,7.643984085,5.010275466,4.724726872,0.160687682,-2.704015561,5.058041207,0.0987708315,0.998238251
0,0,0,0,1,0,0.275228157,-0.274372771,4.506028606,-4.651942288,0.38296432,0.397605778,4.302436963,2.816669454,3.656059763,-0.833052314,4.08104285,3.004168232,-1.286065894,3.231361507,2.282055622,5.286585646,2.76409283,1.332107083,-3.481155816,1.186446006,0.150245193,5.509906064,2.525500662,6.701707834,-3.19679915,4.531713503,-1.753327291,8.236850595,0.790057355,2.139286208,-2.924994229,1.727427252,-3.006188563,-1.295005079,1.560624224,-1.082328521,-0.338885807,0.809783887,-3.482216677,-4.449543357,-1.336378334,-4.318823708,-1.69802996,-2.731271926,-5.831744397,-8.322184351,-4.179751166,-8.149053564,-0.585136444,0.80122363,-7.184880759,-7.946404574,-0.315228313,-7.772376947,-6.46676659,1.738384728,-2.487608728,-0.284587881,0.54438395,-0.590413153,-4.747361383,-0.900573642,-1.76451327
